date,AAPL US Equity,MSFT US Equity,portfolio_value
22.01.2024,96.945,198.255,295.2
23.01.2024,97.59,199.45,297.04
24.01.2024,97.25,201.28,298.53
25.01.2024,97.085,202.435,299.52
26.01.2024,96.21,201.965,298.175
29.01.2024,95.865,204.86,300.725
30.01.2024,94.02,204.295,298.315
31.01.2024,92.2,198.79,290.99
01.02.2024,93.43,201.89,295.32
02.02.2024,92.925,205.61,298.535
05.02.2024,93.84,202.825,296.665
06.02.2024,94.65,202.745,297.395
07.02.2024,94.705,207.025,301.73
08.02.2024,94.16,207.055,301.215
09.02.2024,94.545,210.275,304.82
12.02.2024,93.694,207.63,301.324
13.02.2024,92.6375,203.16,295.7975
14.02.2024,92.192,205.12,297.312
15.02.2024,92.047,203.6523,295.6993
16.02.2024,91.271,202.40005,293.67105
20.02.2024,90.8955,201.76385,292.65935
21.02.2024,91.276,201.4583,292.7343
22.02.2024,92.302,206.202,298.504
23.02.2024,91.376,205.5458,296.9218
26.02.2024,90.695,204.1432,294.8382
27.02.2024,91.431,204.11315,295.54415
28.02.2024,90.8255,204.2334,295.0589
29.02.2024,90.49,207.1988,297.6888
01.03.2024,89.944,208.1305,298.0745
04.03.2024,87.6615,207.83995,295.50145
05.03.2024,85.168,201.69375,286.86175
06.03.2024,84.6675,201.4132,286.0807
07.03.2024,84.6075,204.9447,289.5522
08.03.2024,85.4735,203.482,288.9555
11.03.2024,86.485,202.63045,289.11545
12.03.2024,86.725,208.0203,294.7453
13.03.2024,85.6735,207.93015,293.60365
14.03.2024,86.61,212.9994,299.6094
15.03.2024,86.4195,208.59135,295.01085
18.03.2024,86.9705,209.04215,296.01265
19.03.2024,88.152,211.0909,299.2429
20.03.2024,89.4485,213.0044,302.4529
21.03.2024,85.794,215.0782,300.8722
22.03.2024,86.2495,214.76265,301.01215
25.03.2024,85.5335,211.81725,297.35075
26.03.2024,84.963,211.21115,296.17415
27.03.2024,86.765,211.10095,297.86595
28.03.2024,85.849,210.7453,296.5943
01.04.2024,85.123,212.6738,297.7968
02.04.2024,84.5275,211.10595,295.63345
03.04.2024,84.933,210.61005,295.54305
04.04.2024,84.5175,209.3227,293.8402
05.04.2024,84.898,213.1497,298.0477
08.04.2024,84.332,212.68385,297.01585
09.04.2024,84.943,213.5304,298.4734
10.04.2024,83.9965,212.0176,296.0141
11.04.2024,87.631,214.3569,301.9879
12.04.2024,88.387,211.33635,299.72335
15.04.2024,86.4545,207.1988,293.6533
16.04.2024,84.7975,207.66965,292.46715
17.04.2024,84.107,206.29715,290.40415
18.04.2024,83.626,202.5052,286.1312
19.04.2024,82.605,199.9255,282.5305
22.04.2024,83.0255,200.8472,283.8727
23.04.2024,83.556,204.15825,287.71425
24.04.2024,84.6175,204.9046,289.5221
25.04.2024,85.053,199.88545,284.93845
26.04.2024,84.7575,203.5321,288.2896
29.04.2024,86.86,201.49335,288.35335
30.04.2024,85.273,195.02155,280.29455
01.05.2024,84.7575,197.8317,282.5892
02.05.2024,86.625,199.28435,285.90935
03.05.2024,91.8065,203.7024,295.5089
06.05.2024,90.9705,207.1487,298.1192
07.05.2024,91.316,205.04485,296.36085
08.05.2024,91.486,205.64595,297.13195
09.05.2024,92.4025,206.5376,298.9401
10.05.2024,91.7665,207.7498,299.5163
13.05.2024,93.3855,207.23885,300.62435
14.05.2024,93.9625,208.66145,302.62395
15.05.2024,95.1105,212.30315,307.41365
16.05.2024,95.1705,211.25435,306.42485
17.05.2024,95.1855,210.86295,306.04845
20.05.2024,95.772,213.4372,309.2092
21.05.2024,96.4285,215.2939,311.7224
22.05.2024,95.702,216.03655,311.73855
23.05.2024,93.6865,214.2702,307.9567
24.05.2024,95.2405,215.8559,311.0964
28.05.2024,95.2455,215.9362,311.1817
29.05.2024,95.396,215.3591,310.7551
30.05.2024,95.8975,208.08295,303.98045
31.05.2024,96.3785,208.3138,304.6923
03.06.2024,97.271,207.5059,304.7769
04.06.2024,97.4315,208.7855,306.217
05.06.2024,98.1935,212.7698,310.9633
06.06.2024,97.4965,213.02575,310.52225
07.06.2024,98.7045,212.6895,311.394
10.06.2024,96.815,214.70675,311.52175
11.06.2024,103.8485,217.12045,320.96895
12.06.2024,106.816,221.32555,328.14155
13.06.2024,107.4025,221.5865,328.989
14.06.2024,106.5255,222.0833,328.6088
17.06.2024,108.621,224.99375,333.61475
18.06.2024,107.4275,223.9751,331.4026
20.06.2024,105.1165,223.65395,328.77045
21.06.2024,104.0185,225.7013,329.7198
24.06.2024,104.3445,224.6425,328.987
25.06.2024,104.811,226.2884,331.0994
26.06.2024,106.9065,226.8956,333.8021
27.06.2024,107.3325,227.24185,334.57435
28.06.2024,105.588,224.2812,329.8692
01.07.2024,108.661,229.18885,337.84985
02.07.2024,110.4255,230.46845,340.89395
03.07.2024,111.0675,231.2161,342.2836
05.07.2024,113.4685,234.62335,348.09185
08.07.2024,114.2105,233.961,348.1715
09.07.2024,114.6415,230.5989,345.2404
10.07.2024,116.7975,233.966,350.7635
11.07.2024,114.085,228.17015,342.25515
12.07.2024,115.574,227.5931,343.1671
15.07.2024,117.509,227.79885,345.30785
16.07.2024,117.72,225.5708,343.2908
17.07.2024,114.742,222.56,337.302
18.07.2024,112.3855,220.9793,333.3648
19.07.2024,112.451,219.34345,331.79445
22.07.2024,112.2755,222.26895,334.54445
23.07.2024,112.802,223.2274,336.0294
24.07.2024,109.5585,215.22365,324.78215
25.07.2024,109.032,209.9547,318.9867
26.07.2024,109.2675,213.4021,322.6696
29.07.2024,109.408,214.1347,323.5427
30.07.2024,109.6885,212.22285,321.91135
31.07.2024,111.333,209.9296,321.2626
01.08.2024,109.468,209.30735,318.77535
02.08.2024,110.22,204.9818,315.2018
05.08.2024,104.911,198.28775,303.19875
06.08.2024,103.8885,200.5258,304.4143
07.08.2024,105.187,199.93365,305.12065
08.08.2024,106.9365,202.07135,309.00785
09.08.2024,108.4055,203.74235,312.14785
12.08.2024,109.1775,204.1388,313.3163
13.08.2024,111.0545,207.75175,318.80625
14.08.2024,111.28,209.1819,320.4619
15.08.2024,112.786,211.6508,324.4368
16.08.2024,113.4535,210.3639,323.8174
19.08.2024,113.373,211.90215,325.27515
20.08.2024,113.6845,213.54595,327.23045
21.08.2024,113.629,213.2142,326.8432
22.08.2024,112.6905,208.896,321.5865
23.08.2024,113.85,209.51935,323.36935
26.08.2024,114.0205,207.86045,321.88095
27.08.2024,114.447,208.0364,322.4834
28.08.2024,113.6745,206.40765,320.08215
29.08.2024,115.3305,207.67445,323.00495
30.08.2024,114.934,209.6953,324.6293
03.09.2024,111.807,205.8245,317.6315
04.09.2024,110.8435,205.55305,316.39655
05.09.2024,111.6115,205.2967,316.9082
06.09.2024,110.8285,201.93365,312.76215
09.09.2024,110.8735,203.9545,314.828
10.09.2024,110.472,208.21735,318.68935
11.09.2024,111.752,212.6612,324.4132
12.09.2024,111.807,214.6519,326.4589
13.09.2024,111.6715,216.4566,328.1281
16.09.2024,108.57,216.8336,325.4036
17.09.2024,108.806,218.7489,327.5549
18.09.2024,110.7635,216.56715,327.33065
19.09.2024,114.869,220.52845,335.39745
20.09.2024,114.5325,218.8092,333.3417
23.09.2024,113.664,217.92445,331.58845
24.09.2024,114.116,215.74275,329.85875
25.09.2024,113.614,217.2207,330.8347
26.09.2024,114.191,216.8185,331.0095
27.09.2024,114.3265,215.16465,329.49115
30.09.2024,116.9415,216.3108,333.2523
01.10.2024,113.5335,211.47985,325.01335
02.10.2024,113.82,209.69025,323.51025
03.10.2024,113.2625,209.39365,322.65615
04.10.2024,113.83,209.1524,322.9824
07.10.2024,111.265,205.8748,317.1398
08.10.2024,113.313,208.47375,321.78675
09.10.2024,115.205,209.85615,325.06115
10.10.2024,114.954,209.0418,323.9958
11.10.2024,114.2065,209.2831,323.4896
14.10.2024,116.0885,210.7007,326.7892
15.10.2024,117.368,210.4996,327.8676
16.10.2024,116.3295,209.18255,325.51205
17.10.2024,116.515,209.48415,325.99915
18.10.2024,117.9455,210.20805,328.15355
21.10.2024,118.688,210.5197,329.2077
22.10.2024,118.377,214.90825,333.28525
23.10.2024,115.8175,213.4454,329.2629
24.10.2024,115.722,213.51075,329.23275
25.10.2024,116.1435,215.23,331.3735
28.10.2024,117.1425,214.4458,331.5883
29.10.2024,117.278,217.14025,334.41825
30.10.2024,115.486,217.4318,332.9178
31.10.2024,113.383,204.2712,317.6542
01.11.2024,111.8775,206.29205,318.16955
04.11.2024,111.426,205.3319,316.7579
05.11.2024,112.1485,206.83995,318.98845
06.11.2024,111.782,211.2235,323.0055
07.11.2024,114.171,213.86265,328.03365
08.11.2024,114.0355,212.40985,326.44535
11.11.2024,112.664,210.13265,322.79665
12.11.2024,112.664,212.6562,325.3202
13.11.2024,113.111,213.74705,326.85805
14.11.2024,114.6685,214.5966,329.2651
15.11.2024,113.051,208.6195,321.6705
18.11.2024,114.568,209.00155,323.56955
19.11.2024,114.699,210.02205,324.72105
20.11.2024,115.0605,208.86585,323.92635
21.11.2024,114.8195,207.966,322.7855
22.11.2024,115.498,210.04635,325.54435
25.11.2024,117.005,210.94795,327.95295
26.11.2024,118.1055,215.5821,333.6876
27.11.2024,118.04,213.06355,331.10355
29.11.2024,119.246,213.3003,332.5463
02.12.2024,120.3815,217.08815,337.46965
03.12.2024,121.919,217.199,339.118
04.12.2024,122.1,220.33205,342.43205
05.12.2024,122.115,222.95135,345.06635
06.12.2024,122.0145,223.42985,345.44435
09.12.2024,123.979,224.66395,348.64295
10.12.2024,124.4915,223.30895,347.80045
11.12.2024,123.8485,226.15995,350.00845
12.12.2024,124.587,226.44705,351.03405
13.12.2024,124.6725,225.2936,349.9661
16.12.2024,126.1345,227.4696,353.6041
17.12.2024,127.3605,228.91525,356.27575
18.12.2024,124.6325,220.31695,344.94945
19.12.2024,125.5065,220.1356,345.6421
20.12.2024,127.868,219.919,347.787
23.12.2024,128.26,219.239,347.499
24.12.2024,129.732,221.29415,351.02615
26.12.2024,130.144,220.6796,350.8236
27.12.2024,128.4205,216.8615,345.282
30.12.2024,126.7175,213.99035,340.70785
31.12.2024,125.823,212.313,338.136
02.01.2025,122.522,210.8422,333.3642
03.01.2025,122.276,213.2449,335.5209
06.01.2025,123.1,215.51155,338.61155
07.01.2025,121.698,212.75125,334.44925
08.01.2025,121.944,213.85435,335.79835
10.01.2025,119.005,211.02855,330.03355
13.01.2025,117.774,210.14205,327.91605
14.01.2025,117.211,209.3764,326.5874
15.01.2025,119.5175,214.73585,334.25335
16.01.2025,114.689,213.86445,328.55345
17.01.2025,115.553,216.10595,331.65895
21.01.2025,110.5535,215.7584,326.3119